transcript,label
"Alert! Your Aadhaar card was used to register a phone number sending illegal text messages. We are transferring this call to the Delhi Police Cyber Cell inspector. You must keep your video camera on. You cannot leave this room. Send Rs 1,50,000 now to prevent account freezing.",1
"This is officer Anjali from CBI. We intercepted a package in your name containing compromised bank cards and 3 fake passports. You are under digital arrest. Stay on the call and transfer Rs 8,00,000 to our verification account immediately to clear your name or you will be jailed.",1
"I am calling from the CBI cyber cell. Your name is linked to a money laundering case involving 4,90,000 Rupees. An FIR has been registered and a warrant for your arrest has been issued by the court. Do not hang up the call or speak to anyone. Pay the bail fee of 4,90,000 via UPI immediately.",1
"Alert! Your Aadhaar card was used to register a phone number sending illegal text messages. We are transferring this call to the CBI inspector. You must keep your video camera on. You cannot leave this room. Send Rs 20,000 now to prevent account freezing.",1
"This is officer Rajesh from Narcotics Control Bureau (NCB). We intercepted a package in your name containing contraband weapons and 2 fake passports. You are under digital arrest. Stay on the call and transfer Rs 20,000 to our verification account immediately to clear your name or you will be jailed.",1
"I am calling from the Customs Department cyber cell. Your name is linked to a money laundering case involving 20,000 Rupees. An FIR has been registered and a warrant for your arrest has been issued by the court. Do not hang up the call or speak to anyone. Pay the bail fee of 20,000 via UPI immediately.",1
"Alert! Your Aadhaar card was used to register a phone number sending illegal text messages. We are transferring this call to the Narcotics Control Bureau (NCB) inspector. You must keep your video camera on. You cannot leave this room. Send Rs 4,90,000 now to prevent account freezing.",1
"This is officer Vikram from Narcotics Control Bureau (NCB). We intercepted a package in your name containing mdma drugs and 5 fake passports. You are under digital arrest. Stay on the call and transfer Rs 95,000 to our verification account immediately to clear your name or you will be jailed.",1
"I am calling from the Narcotics Control Bureau (NCB) cyber cell. Your name is linked to a money laundering case involving 20,000 Rupees. An FIR has been registered and a warrant for your arrest has been issued by the court. Do not hang up the call or speak to anyone. Pay the bail fee of 20,000 via UPI immediately.",1
"Alert! Your Aadhaar card was used to register a phone number sending illegal text messages. We are transferring this call to the Narcotics Control Bureau (NCB) inspector. You must keep your video camera on. You cannot leave this room. Send Rs 20,000 now to prevent account freezing.",1
"This is officer Suresh from Customs Department. We intercepted a package in your name containing illegal passports and 7 fake passports. You are under digital arrest. Stay on the call and transfer Rs 1,50,000 to our verification account immediately to clear your name or you will be jailed.",1
"I am calling from the CBI cyber cell. Your name is linked to a money laundering case involving 50,000 Rupees. An FIR has been registered and a warrant for your arrest has been issued by the court. Do not hang up the call or speak to anyone. Pay the bail fee of 50,000 via UPI immediately.",1
"Alert! Your Aadhaar card was used to register a phone number sending illegal text messages. We are transferring this call to the Customs Department inspector. You must keep your video camera on. You cannot leave this room. Send Rs 50,000 now to prevent account freezing.",1
"This is officer Anjali from Customs Department. We intercepted a package in your name containing mdma drugs and 3 fake passports. You are under digital arrest. Stay on the call and transfer Rs 20,000 to our verification account immediately to clear your name or you will be jailed.",1
"I am calling from the Enforcement Directorate (ED) cyber cell. Your name is linked to a money laundering case involving 50,000 Rupees. An FIR has been registered and a warrant for your arrest has been issued by the court. Do not hang up the call or speak to anyone. Pay the bail fee of 50,000 via UPI immediately.",1
"Alert! Your Aadhaar card was used to register a phone number sending illegal text messages. We are transferring this call to the Enforcement Directorate (ED) inspector. You must keep your video camera on. You cannot leave this room. Send Rs 1,50,000 now to prevent account freezing.",1
"This is officer Sunita from CBI. We intercepted a package in your name containing contraband weapons and 2 fake passports. You are under digital arrest. Stay on the call and transfer Rs 20,000 to our verification account immediately to clear your name or you will be jailed.",1
"I am calling from the Delhi Police Cyber Cell cyber cell. Your name is linked to a money laundering case involving 50,000 Rupees. An FIR has been registered and a warrant for your arrest has been issued by the court. Do not hang up the call or speak to anyone. Pay the bail fee of 50,000 via UPI immediately.",1
"Alert! Your Aadhaar card was used to register a phone number sending illegal text messages. We are transferring this call to the CBI inspector. You must keep your video camera on. You cannot leave this room. Send Rs 50,000 now to prevent account freezing.",1
"Dear customer, your HDFC Bank credit card is temporarily blocked due to missing KYC information. To reactivate it, please share the OTP sent to your mobile. If you do not update within 10 minutes, Rs 20,000 penalty will be charged.",1
"Hello, I am speaking from the Axis Bank customer service. Your savings account is suspended. We need to verify your PAN card and Aadhaar card. Please click on the link to login to your netbanking or transfer your balance of Rs 1,50,000 to our secure pool wallet.",1
"Important warning from ICICI Bank. Your mobile banking app is deactivated. To activate it, click the link and enter your profile password and the 6-digit OTP. Failure to do so will result in permanent block of your account.",1
"Dear customer, your HDFC Bank credit card is temporarily blocked due to missing KYC information. To reactivate it, please share the OTP sent to your mobile. If you do not update within 10 minutes, Rs 1,50,000 penalty will be charged.",1
"Hello, I am speaking from the ICICI Bank customer service. Your savings account is suspended. We need to verify your PAN card and Aadhaar card. Please click on the link to login to your netbanking or transfer your balance of Rs 95,000 to our secure pool wallet.",1
"Important warning from Axis Bank. Your mobile banking app is deactivated. To activate it, click the link and enter your profile password and the 6-digit OTP. Failure to do so will result in permanent block of your account.",1
"Dear customer, your Punjab National Bank credit card is temporarily blocked due to missing KYC information. To reactivate it, please share the OTP sent to your mobile. If you do not update within 10 minutes, Rs 1,50,000 penalty will be charged.",1
"Hello, I am speaking from the SBI customer service. Your savings account is suspended. We need to verify your PAN card and Aadhaar card. Please click on the link to login to your netbanking or transfer your balance of Rs 20,000 to our secure pool wallet.",1
"Important warning from HDFC Bank. Your mobile banking app is deactivated. To activate it, click the link and enter your profile password and the 6-digit OTP. Failure to do so will result in permanent block of your account.",1
"Dear customer, your SBI credit card is temporarily blocked due to missing KYC information. To reactivate it, please share the OTP sent to your mobile. If you do not update within 10 minutes, Rs 4,90,000 penalty will be charged.",1
"Hello, I am speaking from the Axis Bank customer service. Your savings account is suspended. We need to verify your PAN card and Aadhaar card. Please click on the link to login to your netbanking or transfer your balance of Rs 8,00,000 to our secure pool wallet.",1
"Important warning from HDFC Bank. Your mobile banking app is deactivated. To activate it, click the link and enter your profile password and the 6-digit OTP. Failure to do so will result in permanent block of your account.",1
"Dear customer, your HDFC Bank credit card is temporarily blocked due to missing KYC information. To reactivate it, please share the OTP sent to your mobile. If you do not update within 10 minutes, Rs 20,000 penalty will be charged.",1
"Hello, I am speaking from the ICICI Bank customer service. Your savings account is suspended. We need to verify your PAN card and Aadhaar card. Please click on the link to login to your netbanking or transfer your balance of Rs 20,000 to our secure pool wallet.",1
"Important warning from Punjab National Bank. Your mobile banking app is deactivated. To activate it, click the link and enter your profile password and the 6-digit OTP. Failure to do so will result in permanent block of your account.",1
"Dear customer, your HDFC Bank credit card is temporarily blocked due to missing KYC information. To reactivate it, please share the OTP sent to your mobile. If you do not update within 10 minutes, Rs 1,50,000 penalty will be charged.",1
"Hello, I am speaking from the SBI customer service. Your savings account is suspended. We need to verify your PAN card and Aadhaar card. Please click on the link to login to your netbanking or transfer your balance of Rs 8,00,000 to our secure pool wallet.",1
"Important warning from HDFC Bank. Your mobile banking app is deactivated. To activate it, click the link and enter your profile password and the 6-digit OTP. Failure to do so will result in permanent block of your account.",1
"Dear customer, your SBI credit card is temporarily blocked due to missing KYC information. To reactivate it, please share the OTP sent to your mobile. If you do not update within 10 minutes, Rs 95,000 penalty will be charged.",1
"Hello, I am speaking from the SBI customer service. Your savings account is suspended. We need to verify your PAN card and Aadhaar card. Please click on the link to login to your netbanking or transfer your balance of Rs 1,50,000 to our secure pool wallet.",1
"Important warning from Axis Bank. Your mobile banking app is deactivated. To activate it, click the link and enter your profile password and the 6-digit OTP. Failure to do so will result in permanent block of your account.",1
"Dear customer, your Axis Bank credit card is temporarily blocked due to missing KYC information. To reactivate it, please share the OTP sent to your mobile. If you do not update within 10 minutes, Rs 1,50,000 penalty will be charged.",1
"Hello, I am speaking from the ICICI Bank customer service. Your savings account is suspended. We need to verify your PAN card and Aadhaar card. Please click on the link to login to your netbanking or transfer your balance of Rs 95,000 to our secure pool wallet.",1
"Important warning from Axis Bank. Your mobile banking app is deactivated. To activate it, click the link and enter your profile password and the 6-digit OTP. Failure to do so will result in permanent block of your account.",1
"Dear customer, your SBI credit card is temporarily blocked due to missing KYC information. To reactivate it, please share the OTP sent to your mobile. If you do not update within 10 minutes, Rs 20,000 penalty will be charged.",1
"Hello, I am speaking from the Axis Bank customer service. Your savings account is suspended. We need to verify your PAN card and Aadhaar card. Please click on the link to login to your netbanking or transfer your balance of Rs 8,00,000 to our secure pool wallet.",1
"Important warning from SBI. Your mobile banking app is deactivated. To activate it, click the link and enter your profile password and the 6-digit OTP. Failure to do so will result in permanent block of your account.",1
"Dear customer, your ICICI Bank credit card is temporarily blocked due to missing KYC information. To reactivate it, please share the OTP sent to your mobile. If you do not update within 10 minutes, Rs 50,000 penalty will be charged.",1
"Hello, I am speaking from the Axis Bank customer service. Your savings account is suspended. We need to verify your PAN card and Aadhaar card. Please click on the link to login to your netbanking or transfer your balance of Rs 50,000 to our secure pool wallet.",1
"Important warning from Punjab National Bank. Your mobile banking app is deactivated. To activate it, click the link and enter your profile password and the 6-digit OTP. Failure to do so will result in permanent block of your account.",1
"Welcome to the VIP Goldman Partners stock trading channel. We share high-yield stocks that are guaranteed to double your money. Join our WhatsApp group. Simply invest 1,50,000 to start receiving 500% weekly returns today. Transfer to our trading account.",1
"Hi, this is a special invite from Vikram. Trade crypto with our automated AI bot. Over 95,000 profits generated this month. Deposit a minimum of Rs 5,000 via UPI and get daily returns of 10% guaranteed. No risk involved.",1
"Hello! Make quick money working from home by liking YouTube videos. We pay Rs 50 per like. Join our VIP group. To unlock higher tier payouts, deposit Rs 50,000 as a security deposit and get Rs 20,000 back tomorrow.",1
"Welcome to the VIP Goldman Partners stock trading channel. We share high-yield stocks that are guaranteed to double your money. Join our WhatsApp group. Simply invest 1,50,000 to start receiving 500% weekly returns today. Transfer to our trading account.",1
"Hi, this is a special invite from Amit. Trade crypto with our automated AI bot. Over 95,000 profits generated this month. Deposit a minimum of Rs 5,000 via UPI and get daily returns of 10% guaranteed. No risk involved.",1
"Hello! Make quick money working from home by liking YouTube videos. We pay Rs 50 per like. Join our VIP group. To unlock higher tier payouts, deposit Rs 4,90,000 as a security deposit and get Rs 20,000 back tomorrow.",1
"Welcome to the VIP Option Traders stock trading channel. We share high-yield stocks that are guaranteed to double your money. Join our WhatsApp group. Simply invest 1,50,000 to start receiving 500% weekly returns today. Transfer to our trading account.",1
"Hi, this is a special invite from Amit. Trade crypto with our automated AI bot. Over 4,90,000 profits generated this month. Deposit a minimum of Rs 5,000 via UPI and get daily returns of 10% guaranteed. No risk involved.",1
"Hello! Make quick money working from home by liking YouTube videos. We pay Rs 50 per like. Join our VIP group. To unlock higher tier payouts, deposit Rs 50,000 as a security deposit and get Rs 20,000 back tomorrow.",1
"Welcome to the VIP Goldman Partners stock trading channel. We share high-yield stocks that are guaranteed to double your money. Join our WhatsApp group. Simply invest 50,000 to start receiving 500% weekly returns today. Transfer to our trading account.",1
"Hi, this is a special invite from Neha. Trade crypto with our automated AI bot. Over 95,000 profits generated this month. Deposit a minimum of Rs 5,000 via UPI and get daily returns of 10% guaranteed. No risk involved.",1
"Hello! Make quick money working from home by liking YouTube videos. We pay Rs 50 per like. Join our VIP group. To unlock higher tier payouts, deposit Rs 8,00,000 as a security deposit and get Rs 20,000 back tomorrow.",1
"Welcome to the VIP Goldman Partners stock trading channel. We share high-yield stocks that are guaranteed to double your money. Join our WhatsApp group. Simply invest 95,000 to start receiving 500% weekly returns today. Transfer to our trading account.",1
"Hi, this is a special invite from Amit. Trade crypto with our automated AI bot. Over 20,000 profits generated this month. Deposit a minimum of Rs 5,000 via UPI and get daily returns of 10% guaranteed. No risk involved.",1
"Hello! Make quick money working from home by liking YouTube videos. We pay Rs 50 per like. Join our VIP group. To unlock higher tier payouts, deposit Rs 4,90,000 as a security deposit and get Rs 20,000 back tomorrow.",1
"Welcome to the VIP Bull Market VIP stock trading channel. We share high-yield stocks that are guaranteed to double your money. Join our WhatsApp group. Simply invest 20,000 to start receiving 500% weekly returns today. Transfer to our trading account.",1
"Hi, this is a special invite from Suresh. Trade crypto with our automated AI bot. Over 50,000 profits generated this month. Deposit a minimum of Rs 5,000 via UPI and get daily returns of 10% guaranteed. No risk involved.",1
"Hello! Make quick money working from home by liking YouTube videos. We pay Rs 50 per like. Join our VIP group. To unlock higher tier payouts, deposit Rs 8,00,000 as a security deposit and get Rs 20,000 back tomorrow.",1
"Welcome to the VIP Growth Wealth stock trading channel. We share high-yield stocks that are guaranteed to double your money. Join our WhatsApp group. Simply invest 1,50,000 to start receiving 500% weekly returns today. Transfer to our trading account.",1
"Hi, this is a special invite from Rohan. Trade crypto with our automated AI bot. Over 1,50,000 profits generated this month. Deposit a minimum of Rs 5,000 via UPI and get daily returns of 10% guaranteed. No risk involved.",1
"Hello! Make quick money working from home by liking YouTube videos. We pay Rs 50 per like. Join our VIP group. To unlock higher tier payouts, deposit Rs 8,00,000 as a security deposit and get Rs 20,000 back tomorrow.",1
"Welcome to the VIP Goldman Partners stock trading channel. We share high-yield stocks that are guaranteed to double your money. Join our WhatsApp group. Simply invest 4,90,000 to start receiving 500% weekly returns today. Transfer to our trading account.",1
"Hi, this is a special invite from Pooja. Trade crypto with our automated AI bot. Over 1,50,000 profits generated this month. Deposit a minimum of Rs 5,000 via UPI and get daily returns of 10% guaranteed. No risk involved.",1
"Hello! Make quick money working from home by liking YouTube videos. We pay Rs 50 per like. Join our VIP group. To unlock higher tier payouts, deposit Rs 1,50,000 as a security deposit and get Rs 20,000 back tomorrow.",1
"Welcome to the VIP Growth Wealth stock trading channel. We share high-yield stocks that are guaranteed to double your money. Join our WhatsApp group. Simply invest 95,000 to start receiving 500% weekly returns today. Transfer to our trading account.",1
"Hi, this is a special invite from Pooja. Trade crypto with our automated AI bot. Over 20,000 profits generated this month. Deposit a minimum of Rs 5,000 via UPI and get daily returns of 10% guaranteed. No risk involved.",1
"Hello! Make quick money working from home by liking YouTube videos. We pay Rs 50 per like. Join our VIP group. To unlock higher tier payouts, deposit Rs 1,50,000 as a security deposit and get Rs 20,000 back tomorrow.",1
"Welcome to the VIP Option Traders stock trading channel. We share high-yield stocks that are guaranteed to double your money. Join our WhatsApp group. Simply invest 95,000 to start receiving 500% weekly returns today. Transfer to our trading account.",1
"Hi, this is a special invite from Neha. Trade crypto with our automated AI bot. Over 4,90,000 profits generated this month. Deposit a minimum of Rs 5,000 via UPI and get daily returns of 10% guaranteed. No risk involved.",1
"Hello! Make quick money working from home by liking YouTube videos. We pay Rs 50 per like. Join our VIP group. To unlock higher tier payouts, deposit Rs 50,000 as a security deposit and get Rs 20,000 back tomorrow.",1
"Congratulations! Your phone number won the KBC Lottery lucky draw of Rs 50,000 Lakhs! To claim this cash prize in your bank account, you must pay a processing fee of Rs 25,000 to our tax officer via UPI.",1
"This is KBC head office. You are selected as the mega winner of Rs 8,00,000 Lakhs. Please contact our lottery manager. You need to pay the government tax deposit of Rs 9,999 before we transfer the prize money.",1
"Dear winner, you have won a brand new SUV in our company anniversary draw. To dispatch the vehicle, transfer Rs 9,999 registration fee to our agent's account immediately. This is fully refundable.",1
"Congratulations! Your phone number won the Jio Anniversary lucky draw of Rs 1,50,000 Lakhs! To claim this cash prize in your bank account, you must pay a processing fee of Rs 9,999 to our tax officer via UPI.",1
"This is KBC head office. You are selected as the mega winner of Rs 50,000 Lakhs. Please contact our lottery manager. You need to pay the government tax deposit of Rs 45,000 before we transfer the prize money.",1
"Dear winner, you have won a brand new SUV in our company anniversary draw. To dispatch the vehicle, transfer Rs 9,999 registration fee to our agent's account immediately. This is fully refundable.",1
"Congratulations! Your phone number won the Tata Motors Draw lucky draw of Rs 20,000 Lakhs! To claim this cash prize in your bank account, you must pay a processing fee of Rs 25,000 to our tax officer via UPI.",1
"This is KBC head office. You are selected as the mega winner of Rs 4,90,000 Lakhs. Please contact our lottery manager. You need to pay the government tax deposit of Rs 45,000 before we transfer the prize money.",1
"Dear winner, you have won a brand new SUV in our company anniversary draw. To dispatch the vehicle, transfer Rs 25,000 registration fee to our agent's account immediately. This is fully refundable.",1
"Congratulations! Your phone number won the Samsung Lucky Spinner lucky draw of Rs 50,000 Lakhs! To claim this cash prize in your bank account, you must pay a processing fee of Rs 45,000 to our tax officer via UPI.",1
"This is KBC head office. You are selected as the mega winner of Rs 1,50,000 Lakhs. Please contact our lottery manager. You need to pay the government tax deposit of Rs 25,000 before we transfer the prize money.",1
"Dear winner, you have won a brand new SUV in our company anniversary draw. To dispatch the vehicle, transfer Rs 45,000 registration fee to our agent's account immediately. This is fully refundable.",1
"Congratulations! Your phone number won the Jio Anniversary lucky draw of Rs 8,00,000 Lakhs! To claim this cash prize in your bank account, you must pay a processing fee of Rs 25,000 to our tax officer via UPI.",1
"This is KBC head office. You are selected as the mega winner of Rs 50,000 Lakhs. Please contact our lottery manager. You need to pay the government tax deposit of Rs 25,000 before we transfer the prize money.",1
"Dear winner, you have won a brand new SUV in our company anniversary draw. To dispatch the vehicle, transfer Rs 12,500 registration fee to our agent's account immediately. This is fully refundable.",1
"Congratulations! Your phone number won the KBC Lottery lucky draw of Rs 8,00,000 Lakhs! To claim this cash prize in your bank account, you must pay a processing fee of Rs 9,999 to our tax officer via UPI.",1
"This is KBC head office. You are selected as the mega winner of Rs 1,50,000 Lakhs. Please contact our lottery manager. You need to pay the government tax deposit of Rs 9,999 before we transfer the prize money.",1
"Dear winner, you have won a brand new SUV in our company anniversary draw. To dispatch the vehicle, transfer Rs 25,000 registration fee to our agent's account immediately. This is fully refundable.",1
"Congratulations! Your phone number won the KBC Lottery lucky draw of Rs 20,000 Lakhs! To claim this cash prize in your bank account, you must pay a processing fee of Rs 12,500 to our tax officer via UPI.",1
"This is KBC head office. You are selected as the mega winner of Rs 95,000 Lakhs. Please contact our lottery manager. You need to pay the government tax deposit of Rs 45,000 before we transfer the prize money.",1
"Dear winner, you have won a brand new SUV in our company anniversary draw. To dispatch the vehicle, transfer Rs 45,000 registration fee to our agent's account immediately. This is fully refundable.",1
"Congratulations! Your phone number won the KBC Lottery lucky draw of Rs 95,000 Lakhs! To claim this cash prize in your bank account, you must pay a processing fee of Rs 9,999 to our tax officer via UPI.",1
"This is KBC head office. You are selected as the mega winner of Rs 4,90,000 Lakhs. Please contact our lottery manager. You need to pay the government tax deposit of Rs 12,500 before we transfer the prize money.",1
"Dear winner, you have won a brand new SUV in our company anniversary draw. To dispatch the vehicle, transfer Rs 25,000 registration fee to our agent's account immediately. This is fully refundable.",1
"Congratulations! Your phone number won the Tata Motors Draw lucky draw of Rs 50,000 Lakhs! To claim this cash prize in your bank account, you must pay a processing fee of Rs 45,000 to our tax officer via UPI.",1
"This is KBC head office. You are selected as the mega winner of Rs 4,90,000 Lakhs. Please contact our lottery manager. You need to pay the government tax deposit of Rs 45,000 before we transfer the prize money.",1
"Dear winner, you have won a brand new SUV in our company anniversary draw. To dispatch the vehicle, transfer Rs 12,500 registration fee to our agent's account immediately. This is fully refundable.",1
"Congratulations! Your phone number won the Samsung Lucky Spinner lucky draw of Rs 50,000 Lakhs! To claim this cash prize in your bank account, you must pay a processing fee of Rs 25,000 to our tax officer via UPI.",1
"This is KBC head office. You are selected as the mega winner of Rs 1,50,000 Lakhs. Please contact our lottery manager. You need to pay the government tax deposit of Rs 9,999 before we transfer the prize money.",1
"Dear winner, you have won a brand new SUV in our company anniversary draw. To dispatch the vehicle, transfer Rs 12,500 registration fee to our agent's account immediately. This is fully refundable.",1
"Hello Vikram, this is to confirm your dentist appointment for tomorrow at 15. Please let us know if you need to reschedule.",0
Your Amazon package is out for delivery. Please share OTP 7832 with the delivery agent when they arrive. Thank you for shopping.,0
"Hi mom, I am stuck in traffic. I'll reach home in 7:00 PM minutes. Please don't wait for dinner, you can start eating.",0
"Dear customer, your monthly electricity bill of Rs 4680 for consumer number 5512 is generated. Due date is 25th of this month. Pay online to avoid late fee.",0
"Hello, this is Amit from HDFC Bank home loans department. We see you applied for a loan. Can you send your salary slip?",0
Hey! Are we still meeting for lunch today at 3:00 PM? Let me know where you want to go. I am thinking that new Italian place.,0
"Hi team, just a reminder that our weekly progress meeting starts in 10 minutes. Please join the link shared on Slack.",0
Your Swiggy order from Burger King has been picked up. The delivery partner Sunita is on the way to your location.,0
"Dear candidate, thank you for applying to the software engineer role. We would like to schedule a technical interview this Thursday at 3:00 PM.",0
"Hi, this is to inform you that your mobile recharge of Rs 4660 is successful. You get unlimited calls and 2GB data per day.",0
"Hello Rajesh, this is to confirm your dentist appointment for tomorrow at 45. Please let us know if you need to reschedule.",0
Your Amazon package is out for delivery. Please share OTP 5512 with the delivery agent when they arrive. Thank you for shopping.,0
"Hi mom, I am stuck in traffic. I'll reach home in 15 minutes. Please don't wait for dinner, you can start eating.",0
"Dear customer, your monthly electricity bill of Rs 4041 for consumer number 7832 is generated. Due date is next Monday. Pay online to avoid late fee.",0
"Hello, this is Pooja from Punjab National Bank home loans department. We see you applied for a loan. Can you send your salary slip?",0
Hey! Are we still meeting for lunch today at 10:30 AM? Let me know where you want to go. I am thinking that new Italian place.,0
"Hi team, just a reminder that our weekly progress meeting starts in 10 minutes. Please join the link shared on Slack.",0
Your Swiggy order from Local Cafe has been picked up. The delivery partner Anjali is on the way to your location.,0
"Dear candidate, thank you for applying to the software engineer role. We would like to schedule a technical interview this Thursday at 3:00 PM.",0
"Hi, this is to inform you that your mobile recharge of Rs 3847 is successful. You get unlimited calls and 2GB data per day.",0
"Hello Neha, this is to confirm your dentist appointment for tomorrow at 15. Please let us know if you need to reschedule.",0
Your Amazon package is out for delivery. Please share OTP 5512 with the delivery agent when they arrive. Thank you for shopping.,0
"Hi mom, I am stuck in traffic. I'll reach home in 45 minutes. Please don't wait for dinner, you can start eating.",0
"Dear customer, your monthly electricity bill of Rs 736 for consumer number 5512 is generated. Due date is next Monday. Pay online to avoid late fee.",0
"Hello, this is Rohan from ICICI Bank home loans department. We see you applied for a loan. Can you send your salary slip?",0
Hey! Are we still meeting for lunch today at 45? Let me know where you want to go. I am thinking that new Italian place.,0
"Hi team, just a reminder that our weekly progress meeting starts in 10 minutes. Please join the link shared on Slack.",0
Your Swiggy order from Haldiram has been picked up. The delivery partner Rohan is on the way to your location.,0
"Dear candidate, thank you for applying to the software engineer role. We would like to schedule a technical interview this Thursday at 7:00 PM.",0
"Hi, this is to inform you that your mobile recharge of Rs 2481 is successful. You get unlimited calls and 2GB data per day.",0
"Hello Pooja, this is to confirm your dentist appointment for tomorrow at 7:00 PM. Please let us know if you need to reschedule.",0
Your Amazon package is out for delivery. Please share OTP 9012 with the delivery agent when they arrive. Thank you for shopping.,0
"Hi mom, I am stuck in traffic. I'll reach home in 10:30 AM minutes. Please don't wait for dinner, you can start eating.",0
"Dear customer, your monthly electricity bill of Rs 679 for consumer number 5512 is generated. Due date is 30th June. Pay online to avoid late fee.",0
"Hello, this is Suresh from ICICI Bank home loans department. We see you applied for a loan. Can you send your salary slip?",0
Hey! Are we still meeting for lunch today at 7:00 PM? Let me know where you want to go. I am thinking that new Italian place.,0
"Hi team, just a reminder that our weekly progress meeting starts in 10 minutes. Please join the link shared on Slack.",0
Your Swiggy order from Dominos Pizza has been picked up. The delivery partner Vikram is on the way to your location.,0
"Dear candidate, thank you for applying to the software engineer role. We would like to schedule a technical interview this Thursday at 7:00 PM.",0
"Hi, this is to inform you that your mobile recharge of Rs 4379 is successful. You get unlimited calls and 2GB data per day.",0
"Hello Rohan, this is to confirm your dentist appointment for tomorrow at 10:30 AM. Please let us know if you need to reschedule.",0
Your Amazon package is out for delivery. Please share OTP 9012 with the delivery agent when they arrive. Thank you for shopping.,0
"Hi mom, I am stuck in traffic. I'll reach home in 45 minutes. Please don't wait for dinner, you can start eating.",0
"Dear customer, your monthly electricity bill of Rs 4431 for consumer number 1104 is generated. Due date is 30th June. Pay online to avoid late fee.",0
"Hello, this is Pooja from ICICI Bank home loans department. We see you applied for a loan. Can you send your salary slip?",0
Hey! Are we still meeting for lunch today at 10:30 AM? Let me know where you want to go. I am thinking that new Italian place.,0
"Hi team, just a reminder that our weekly progress meeting starts in 10 minutes. Please join the link shared on Slack.",0
Your Swiggy order from Haldiram has been picked up. The delivery partner Rajesh is on the way to your location.,0
"Dear candidate, thank you for applying to the software engineer role. We would like to schedule a technical interview this Thursday at 10:30 AM.",0
"Hi, this is to inform you that your mobile recharge of Rs 1967 is successful. You get unlimited calls and 2GB data per day.",0
"Hello Amit, this is to confirm your dentist appointment for tomorrow at 45. Please let us know if you need to reschedule.",0
Your Amazon package is out for delivery. Please share OTP 7832 with the delivery agent when they arrive. Thank you for shopping.,0
"Hi mom, I am stuck in traffic. I'll reach home in 3:00 PM minutes. Please don't wait for dinner, you can start eating.",0
"Dear customer, your monthly electricity bill of Rs 1811 for consumer number 9012 is generated. Due date is 30th June. Pay online to avoid late fee.",0
"Hello, this is Rohan from SBI home loans department. We see you applied for a loan. Can you send your salary slip?",0
Hey! Are we still meeting for lunch today at 10:30 AM? Let me know where you want to go. I am thinking that new Italian place.,0
"Hi team, just a reminder that our weekly progress meeting starts in 10 minutes. Please join the link shared on Slack.",0
Your Swiggy order from Haldiram has been picked up. The delivery partner Rajesh is on the way to your location.,0
"Dear candidate, thank you for applying to the software engineer role. We would like to schedule a technical interview this Thursday at 3:00 PM.",0
"Hi, this is to inform you that your mobile recharge of Rs 4421 is successful. You get unlimited calls and 2GB data per day.",0
"Hello Anjali, this is to confirm your dentist appointment for tomorrow at 15. Please let us know if you need to reschedule.",0
